,url,car_type,price,model_year,country_dtp,main_cats,main_info,paid_cats,paid_info,full_description,additional_cats,additional_info
0,https://auto.ria.com/uk/newauto/auto-fiat-fiorino-1894024.html,Fiat Fiorino ,636 280      0          24,,,,,,,,,
1,https://auto.ria.com/uk/newauto/auto-fiat-tipo-1894646.html,MG 5 1.5 MT (114 к.с.) 2021,690 900      0          24,,,,,,,,,
2,https://auto.ria.com/uk/newauto/auto-fiat-tipo-1885994.html,Citroen C3 1.2 PureTech MT (82 к.с.) 2022,580 000      0          24,,,,,,,,,
3,https://auto.ria.com/uk/auto_fiat_doblo_pass_33428250.html,Мінівен Fiat Doblo пасс. 2001 в Червонограді,3 600,Fiat Doblo пасс. 2001,"Пригнаний з Німеччини,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","Fiat Doblo 2001;1.9 л • Дизель; Червоний Колір не вказано продавцем;25.01.2020 • 2 роки, 9 міс. тому перепродаж (на внутрішньому ринку);3;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;,не виявлено;дозволено відчужувати;не знайдено;,Фіат добло 1.9 простий дизель 215тс пробігу пасажир справний стан привезений з Німеччини. фаркоп.детальніше по телефону якщо неберу пишіть у вайбер!!!,Пробіг;Двигун;;Коробка передач;Привід;Фари;Матеріали салону;Запасне колесо;Салон та комфорт;Мультимедіа;Оптика;Кузов;Подушка безпеки;,215 тис. км;1.9 л (63 к.с. / 46 кВт) • Дизель;місто 9 • змішаний 7 • траса 6;Ручна / Механіка;Передній;Галогенні;Тканина;Повнорозмірне;Розетка  12V;Bluetooth • USB;Омивач  фар • Протитуманні  фари;Фаркоп;Водія;
4,https://auto.ria.com/uk/newauto/auto-fiat-qubo-pass-1893977.html,Fiat Qubo пасс. Easy,599 900      0          24,,,,,,,,,
5,https://auto.ria.com/uk/auto_fiat_doblo_pass_33542214.html,Унiверсал Fiat Doblo пасс. 2007 в Пирятині,4 300,Fiat Doblo пасс. 2007,"Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","Fiat Doblo 2007;1.91 л • Дизель; Білий Колір не вказано продавцем;04.01.2021 • 1 рік, 10 міс. тому перепродаж за договором купівлі-продажу;4;Ні;",Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;356 тис.км;Немає офіційно зареєстрованих;,Продам авто.Для свого віку в гарному стані.Новий акумулятор.Більше деталей за телефоном.Торг присутній.,Пробіг;Двигун;;Коробка передач;Привід;Електросклопідйомники;,356 тис. км;1.91 л • Дизель;місто 5 • змішаний 5.5 • траса 6;Ручна / Механіка;Передній;Передні;
6,https://auto.ria.com/uk/auto_fiat_500_32432426.html,Хетчбек Fiat 500 2009 в Львові,5 950,Fiat 500 2009,"Пригнаний з Нідерландів,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","Fiat 500 2009;1.2 л • Бензин; Чорний;06.10.2020 • 2 роки, 1 міс. тому перепродаж за договором купівлі-продажу;2;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;167 тис.км;Немає офіційно зареєстрованих;,"Кондиціонер,електропідсилювач керма,склопідйомники,люк,парктронік,бортовий комп’ютер,електро дзеркала.Авто в хорошому стані.",Пробіг;Двигун;Коробка передач;Привід;Колір;Технічний стан;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Безпека;Салон та комфорт;Мультимедіа;Система допомоги при паркуванні;Подушка безпеки;,167 тис. км;1.2 л • Бензин;Робот;Передній; Чорний металік;Повністю непошкоджене ;Передні;Кондиціонер;Електро;По висоті;Центральний  замок • Антиблокувальна система  (ABS);Люк • Бортовий  комп'ютер • Підігрів  дзеркал • Тоновані  вікна;Акустика;Парктронік  задній;Водія;
7,https://auto.ria.com/uk/newauto/auto-fiat-tipo-1893831.html,Fiat Tipo 1.4 МТ (95 к.с.) 2022,663 000      0          24,,,,,,,,,
8,https://auto.ria.com/uk/auto_fiat_500e_33557397.html,Хетчбек Fiat 500e 2015 в Чернівцях,10 300,Fiat 500e City 2015,"Пригнаний з Норвегії,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",Fiat 500e 2015;Електро; Білий Синій вказано продавцем;30.07.2022 • 3 міс. тому перша реєстрація вживаного авто після розмитнення;1;Ні;,Наявність страхового випадку;,не знайдено;,"КРАЩА ЦІНА!!!Актуально до 23.11.2022Привіт!В продажі спритний міський автомобіль!Обслужений до дрібниць!На новій гумі Continental!Салон Abarth!Немає нюансів, немає проблем!Дзвоніть - домовимось!",Пробіг;Двигун;Коробка передач;Привід;Колір;,62 тис. км;Електро;Автомат;Передній; Синій металік;
9,https://auto.ria.com/uk/auto_fiat_500_33486456.html,Хетчбек Fiat 500 2014 в Тернополі,7 900,Fiat 500 2014,"Був в ДТП,Пригнаний з США,Торг,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",Fiat 500 2014;1.4 л • Бензин; Білий;24.11.2021 • 11 міс. тому перепродаж (на внутрішньому ринку);3;Ні;,Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,"не знайдено;91 тис.км • 4 роки, 5 міс. тому останній зафіксований від 30.05.2018джерело фіксації — архівні дані з офіційного аукціону ІААІ в США;133 тис.км;Зафіксовано ДТП  Деталі Закрити на території США в 2018 році із пошкодженням лівої сторони кузова;","Продам компактний міський автомобіль. Ідеальний для першої машини, ніяких проблем з парковкою!) Приїхав з США з мінімальним пошкодженням (ліва фара, фото з Америки додаю), безпека не спрацьовувала. Мотор 1,4, коробка автомат Aisin 6ст. Є Sport режим, AUX, USB, круіз контроль, голосний зв’язок, електросклопідйомники, датчик тиску в шинах. Машину купувала рік тому, зараз вона повністю обслужена: замінений ремень ГРМ, усі ремені і роліки, масло і фільтра в моторі і коробці (5 тис км тому), передні і задні колодки, тиждень тому замінені свічки по регламенту, встановлено новий акумулятор.Також віддам два комплекти резини (куплені зимою 2021/весною 2022 року)Машина без шпаклі,готова до перевірки на будь якому СТО.Цікавить обмін на седан/купе ауді,бмв,кіа з моєю доплатою",Пробіг;Двигун;;Коробка передач;Привід;Колір;Участь в ДТП;Лакофарбове покриття;Безпека;Салон та комфорт;Подушка безпеки;,133 тис. км;1.4 л (100 к.с. / 74 кВт) • Бензин;траса 5.5 • місто 8;Автомат;Передній; Білий;Був в ДТП;Професійно виправлені сліди використання ;Центральний  замок • Антиблокувальна система  (ABS) • Система стабілізації  (ESP);Підігрів  дзеркал;Водія;
10,https://auto.ria.com/uk/auto_fiat_punto_33571513.html,Хетчбек Fiat Punto 2014 в Києві,4 800,Fiat Punto 2014,"Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","Fiat Punto 2014;1.3 л • Дизель; Білий;09.02.2019 • 3 роки, 9 міс. тому перепродаж (на внутрішньому ринку);2;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;,не виявлено;дозволено відчужувати;не знайдено;,"Автомобіль у відмінному стані, повністю обслужений, не потребує жодних вкладень. Дуже комфортна та економічна машина.Майже нова зимова гума. Два ключі.Перевірка на будь якому СТО!",Пробіг;Двигун;;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Матеріали салону;Колір салону;Електросклопідйомники;Кондиціонер;Підсилювач керма;Стан;Стан;,233 тис. км;1.3 л • Дизель;траса 3.5 • місто 4.5;Ручна / Механіка;Передній; Білий;Як нове ;Повністю непошкоджене ;Тканина;Темний;Передні;Кондиціонер;Електро;Гаражне  зберігання;Гаражне  зберігання;
11,https://auto.ria.com/uk/auto_fiat_doblo_pass_33570597.html,Мінівен Fiat Doblo пасс. 2012 в Городенці,4 999,Fiat Doblo пасс. 2012,,"Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","Fiat Doblo 2012;1.3 л • Дизель; Білий;15.09.2012 • 10 років, 2 міс. тому створення картки ТЗ поверненого із-за кордону;1;Ні;",,,фіат добло 2012 грузовик повністю обслужений масла фільтра ланцюг грм замінено по кузові професійно відремонтовані пошкодження торг біля капота,Пробіг;Двигун;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Безпека;Подушка безпеки;,240 тис. км;1.3 л • Дизель;Ручна / Механіка;Передній; Білий;Професійно виправлені сліди використання ;Професійно відремонтовані пошкодження ;Галогенні;Тканина;Темний;Ручне регулювання передніх сидінь;Передні;Кондиціонер;Гідро;По висоті;Повнорозмірне;Антиблокувальна система  (ABS);Водія • Пасажира;
12,https://auto.ria.com/uk/auto_fiat_talento_pass_33566928.html,Мінівен Fiat Talento пасс. 2017 в Києві,17 950,Fiat Talento пасс. 2017,"Пригнаний з Німеччини,Торг,",,,Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;174 тис.км;Немає офіційно зареєстрованих;,Свіжопригнаний. По документам пасажир 8+1. Не бита не крашена. Пробег автомобіля оригінальний. Торг до взаємовигідного результата!!!,Пробіг;Двигун;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Безпека;Салон та комфорт;Мультимедіа;Оптика;Кузов;Система допомоги при паркуванні;Подушка безпеки;,174 тис. км;1.6 л (121 к.с. / 89 кВт) • Дизель;Ручна / Механіка;Передній; Чорний металік;Як нове ;Повністю непошкоджене ;Галогенні;Шкіра;Темний;Ручне регулювання сидіння водія;Передні;Кондиціонер;Електро;По висоті та по вильоту;Повнорозмірне;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Система стабілізації  (ESP) • Антипробуксовочна система  (ASR) • Стабілізація рульового управління  (VSM) • Розподіл гальмівних зусиль  (BAS • EBD) • Допомога при старті в  гору • Допомога при  спуску • Система кріплення  IsoFix;Бортовий  комп'ютер • Датчик  дощу • Підігрів  дзеркал • Тоновані  вікна • Складний столик на спинках передніх  сидінь • Розетка  12V • Мультифункціональне  кермо • Бардачок з  охолодженням • Електронна приладова  панель • Круїз  контроль • Вибір режиму  руху;Акустика • Навігаційна  система • Аудіопідготовка • Мультимедіа система з  LCD-екраном • AUX • Bluetooth • USB;Датчик  світла • Денні ходові  вогні • Протитуманні  фари;Захист  картера • Захист  коробки;Парктронік  задній • Задня  камера;Водія • Пасажира • Бічні  передні;
13,https://auto.ria.com/uk/auto_fiat_scudo_pass_33555135.html,Мінівен Fiat Scudo пасс. 2009 в Львові,7 900,Fiat Scudo пасс. 2009,"Торг,Обмін,Ціна з ПДВ,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",Fiat Scudo 2009;2 л • Дизель; Синій;13.10.2022 • 1 міс. тому перепродаж (на внутрішньому ринку);3;Ні;,Наявність страхового випадку;,не знайдено;,,Пробіг;Двигун;;Коробка передач;Привід;Колір;Фари;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;,232 тис. км;2 л • Дизель;місто 9;Ручна / Механіка;Передній; Синій;Галогенні;Передні;Кондиціонер;Електро;По висоті та по вильоту;Повнорозмірне;
14,https://auto.ria.com/uk/auto_fiat_doblo_pass_33541093.html,Мінівен Fiat Doblo пасс. 2005 в Теофіполі,4 300,Fiat Doblo пасс. AS 1.9MultiJet 120ls 2005,,"Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","Fiat Doblo 2005;1.9 л • Дизель; Білий;18.03.2015 • 7 років, 7 міс. тому перепродаж (за довідкою-рахунком);1;Ні;",Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;285 тис.км;Немає офіційно зареєстрованих;,доблик хоч старенький але знаходиться в нормальному робочому гляженому стані 1.9MultiJet 120ls мотором (хто розуміє)мотор коробка (без зауважень)підвіска добра (резина зимова)салон збережений (охайний)рідна фарба сліди використання звичайно присутнідет. за тел.-----Слава Україні,Пробіг;Двигун;;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Стан;Безпека;Салон та комфорт;Мультимедіа;Стан;Кузов;Подушка безпеки;,285 тис. км;1.9 л (120 к.с. / 88 кВт) • Дизель;траса 5 • змішаний 5.5 • місто 6;Ручна / Механіка;Передній; Білий;Невиправлені сліди використання ;Професійно відремонтовані пошкодження ;Галогенні;Тканина;Темний;Ручне регулювання сидіння водія;Передні;Кондиціонер;Гідро;По висоті;Повнорозмірне;Гаражне  зберігання;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Іммобілайзер;Бортовий  комп'ютер • Тоновані  вікна • Складане заднє  сидіння • Передній центральний  підлокітник • Розетка  12V • Підкурювач і  попільничка;Акустика • Аудіопідготовка • USB;Гаражне  зберігання;Захист  картера • Захист  коробки;Водія;
