,url,car_type,price,model_year,country_dtp,main_cats,main_info,paid_cats,paid_info,full_description,additional_cats,additional_info
0,https://auto.ria.com/uk/auto_seat_altea_xl_32718339.html,Унiверсал SEAT Altea XL 2007 в Сарнах,4 999,SEAT Altea XL 2007,,"Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SEAT Altea 2007 SEAT Altea XL 2007 вказано продавцем;2 л • Дизель; Сірий;20.11.2020 • 1 рік, 11 міс. тому перепродаж за договором купівлі-продажу;2;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,"не виявлено;дозволено відчужувати;не знайдено;79 тис.км • 11 років, 9 міс. тому останній зафіксований від 10.02.2011джерело фіксації — дилерське СТО;260 тис.км;Немає офіційно зареєстрованих;",,Пробіг;Двигун;Коробка передач;Привід;Колір;Фари;Матеріали салону;Електросклопідйомники;Кондиціонер;Підсилювач керма;Безпека;Салон та комфорт;Мультимедіа;Оптика;Кузов;,260 тис. км;2 л • Дизель;Ручна / Механіка;Передній; Сірий;Ксенонові/Біксенонові;Тканина;Передні та задні;Клімат-контроль 2-зонний;Електро;Антиблокувальна система  (ABS) • Система стабілізації  (ESP);Датчик  дощу • Тоновані  вікна • Круїз  контроль • Сонцезахисна шторка на задньому  склі;AUX • USB;Датчик  світла • Протитуманні  фари;Фаркоп;
1,https://auto.ria.com/uk/auto_seat_altea_xl_33544428.html,Мінівен SEAT Altea XL 2011 в Дніпрі,7 700,SEAT Altea XL 2011,"Торг,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SEAT Altea XL 2011;1.2 л • Бензин; Чорний;12.10.2022 • 1 міс. тому перша реєстрація вживаного авто після розмитнення;1;Ні;,Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,"не виявлено;дозволено відчужувати;не знайдено;66 тис.км • 6 років, 10 міс. тому останній зафіксований від 07.01.2016джерело фіксації — дилерське СТО;150 тис.км;Немає офіційно зареєстрованих;","SEAT шукає собі нового господаря. Якщо ви шукаєте надійний авто німецької якості в якому буде дуже зручно та безпечно в дорозі 5-тим людям, то цей авто саме для вас!Даний двигун найкраще співвідношення економічності та потужності. Коли саме ви будете за кермом цього авто ви будете приємно вражені як авто може бути таким вістким, динамічним та стійким на трасі та маневреним та економічним у місті.Коли потрапляєш до салону цього авто, то людина будь-якого зростання та комплекції буде почуватися якнайкраще завдяки регулюванню передніх та задніх сидінь. Після придбання цього авто вам не доведеться вибирати що брати з собою в подорож, а що ні, бо величезне багажне відділення дозволяє вам брати безліч промов та все, що вам заманеться.Задні парктроніки допомагають вам із паркуванням, музичне обладнання зможе здивувати якістю звуку навіть досвідчених любителів музыки.Як ви вже бачили по фото, екстер'єр авто викликає цікавість та виглядає дуже сучасним.Це авто вимагає вашої уваги і якщо ви дізналися собі і свої бажання в цьому описі, тоді це авто саме для вас. До зустрічі на переглядах!",Пробіг;Двигун;Коробка передач;Привід;Колір;Лакофарбове покриття;Кондиціонер;Регулювання керма;Запасне колесо;Салон та комфорт;Мультимедіа;Оптика;Кузов;Система допомоги при паркуванні;,150 тис. км;1.2 л (105 к.с. / 77 кВт) • Бензин;Ручна / Механіка;Передній; Чорний;Як нове ;Клімат-контроль 2-зонний;По висоті та по вильоту;Докатка;Бортовий  комп'ютер • Підігрів  дзеркал • Тоновані  вікна • Складане заднє  сидіння • Функція складання спинки сидіння  пасажира • Третій задній  підголівник • Передній центральний  підлокітник • Система  «старт-стоп» • Мультифункціональне  кермо • Електропривід  дзеркал • Підкурювач і  попільничка • Обігрів лобового  скла • Круїз  контроль;Акустика • AUX • USB;Протитуманні  фари;Довга  база;Парктронік  задній;
2,https://auto.ria.com/uk/auto_seat_ibiza_33572668.html,Унiверсал SEAT Ibiza 2012 в Калуші,6 600,SEAT Ibiza 2012,"Пригнаний з Нідерландів,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SEAT Ibiza 2012;1.2 л • Дизель; Синій;06.10.2022 • 1 міс. тому перша реєстрація імпортованого авто;1;Ні;,Наявність страхового випадку;,не знайдено;,,Пробіг;Двигун;Коробка передач;Привід;Колір;,178 тис. км;1.2 л • Дизель;Ручна / Механіка;Передній; Синій металік;
3,https://auto.ria.com/uk/auto_seat_leon_33564995.html,Хетчбек SEAT Leon 2014 в Тячеві,9 999,SEAT Leon 2014,"Пригнаний з Чехії,Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SEAT Leon 2014;1.2 л • Бензин; Чорний;26.08.2022 • 2 міс. тому перепродаж (на внутрішньому ринку);2;Ні;,Наявність страхового випадку;,не знайдено;,"Машина в хорошому стані на повному впевненому ходу.Іздила дівчина,автомобіль дуже комфортий,еконоіческий,практичний,викушаний дизайн.1000% рідного пробігу.Мінімальний торг на дорогу біля машини.",Пробіг;Двигун;;Коробка передач;Привід;Колір;,110 тис. км;1.2 л • Бензин;місто 7 • змішаний 7.5 • траса 6;Автомат;Передній; Чорний;
4,https://auto.ria.com/uk/auto_seat_ateca_33561860.html,Позашляховик / Кросовер SEAT Ateca 2019 в Харкові,26 500,SEAT Ateca 2019,"Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SEAT Ateca 2019;2 л • Дизель; Білий;07.06.2019 • 3 роки, 5 міс. тому зміна анкетних даних власника;1;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;105 тис.км • 10 міс. тому останній зафіксований від 22.12.2021джерело фіксації — дилерське СТО;125 тис.км;Немає офіційно зареєстрованих;,Автомобиль полностью обслужен.Поменяны ремни и роликиНовые тормозные колодкиЗамена масла каждые 9т кмВсе обслуживание у оф дилераПередняяя часть автомобиля и все уязвимые места заклеяны в пленку POLOR Тонировка в круг LUMARАвтоматическая парковкаPark assistДоп. Вопросы по телефону.Автоплощадкам не беспокоить,Пробіг;Двигун;;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Стан;Безпека;Салон та комфорт;Мультимедіа;Стан;Оптика;Кузов;Система допомоги при паркуванні;Подушка безпеки;,125 тис. км;2 л • Дизель;місто 6.5 • траса 5 • змішаний 6;Автомат;Повний; Білий металік;Як нове ;Повністю непошкоджене ;Гаражне  зберігання;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Система стабілізації  (ESP) • Допомога при  спуску • Запобігання  зіткнення • Датчик втоми  водія • Датчик тиску в  шинах • Система кріплення  IsoFix • Блокування замків задніх  дверей • Датчик проникнення в салон (датчик  об`єму);Люк • Датчик  дощу • Тоновані  вікна • Складане заднє  сидіння • Функція складання спинки сидіння  пасажира • Третій задній  підголівник • Оздоблення керма  шкірою • Оздоблення шкірою важеля  КПП • Оздоблення стелі чорного  кольору • Передній центральний  підлокітник • Декоративне підсвічування  салону • Декоративні накладки на  педалі • Розетка  12V • Система доступу без  ключа • Круїз  контроль • Вибір режиму  руху;CarPlay;Гаражне  зберігання;Датчик  світла • Омивач  фар • Денні ходові  вогні • Протитуманні  фари • Система адаптивного  освітлення;Захист  картера • Захист  коробки;Парктронік  передній • Система автоматичного  паркування • Задня  камера;Водія • Пасажира • Бічні  передні • Бічні  задні • Віконні  (шторки) • Колін  водія;
5,https://auto.ria.com/uk/auto_seat_leon_33559157.html,Хетчбек SEAT Leon 2017 в Дніпрі,13 300,SEAT Leon 2017,,"Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SEAT Leon 2017;1.6 л • Дизель; Білий;20.05.2022 • 5 міс. тому реєстрація після лізингу;2;Ні;,Наявність страхового випадку;,не знайдено;,Авто в доброму стані. Перший власник. Пробіг оригінальний. Дуже економічний мотор від 4л дизеля. По автомобілю питань не має. Всі питання по телефону. Можливий продаж з ПДВ.,Пробіг;Двигун;Коробка передач;Привід;Колір;Технічний стан;Матеріали салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Стан;Безпека;Салон та комфорт;Мультимедіа;Стан;Оптика;Подушка безпеки;,178 тис. км;1.6 л (115 к.с. / 85 кВт) • Дизель;Автомат;Передній; Білий;Повністю непошкоджене ;Тканина;Ручне регулювання передніх сидінь;Передні та задні;Клімат-контроль 2-зонний;Гідро;По висоті та по вильоту;Повнорозмірне;Сервісна  книжка • Перший  власник;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Система стабілізації  (ESP) • Іммобілайзер • Антипробуксовочна система  (ASR) • Допомога при старті в  гору • Датчик тиску в  шинах • Система кріплення  IsoFix • Блокування замків задніх  дверей;Бортовий  комп'ютер • Датчик  дощу • Підігрів  дзеркал • Тоновані  вікна • Складане заднє  сидіння • Передній центральний  підлокітник • Система  «старт-стоп» • Електропривід  дзеркал • Підкурювач і  попільничка • Круїз  контроль;Навігаційна  система • AUX • Bluetooth • USB • Голосове  керування • Android  Auto • CarPlay;Сервісна  книжка • Перший  власник;Датчик  світла • Омивач  фар • Денні ходові  вогні • Протитуманні  фари;Водія • Бічні  передні • Бічні  задні • Віконні  (шторки) • Колін  водія;
6,https://auto.ria.com/uk/auto_seat_alhambra_33554850.html,Мінівен SEAT Alhambra 2006 в Рівному,5 900,SEAT Alhambra 2.0MPI 2006,"Пригнаний з Швейцарії,Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","
                        SEAT Alhambra 2006                                            ;
                                                            2 л
                                                                     • 
                                                            
                                                            Бензин                            
                            
                        ;

                        
                        Чорний
                                            ;
                                                    11.11.2022                                                                            перша реєстрація імпортного ТЗ
;
                            1                        ;
                                                    Ні                                            ;",Наявність страхового випадку;,не знайдено;,"Модель 2007р. Тільки поставлений на облік, свіженький, з Швейцарії мінівен в СУПЕР ідеальному стані,без ДТП та підкрасів, весь в РІДНІЙ фарбі.Замінений комплект щеплення. Вже взутий в зимову гуму, літні додаються.Повноцінний 7 місний мінівен з простим інжекторним двигуном та 6 ступінчастою механічною коробкою, що дозволяє економити пальне. Середній розхід 6,5 л/100км. Пробіг оригінальний, підтверджено документально. НІЯКИХ ньюансів, сколів, слідів корозії чи подряпин в авто немає. Вікна та лобове скло оригінал. Днище як нове, збережені всі захисні елементи. Має високий кліренс і чудову прохідність. Салон без слідів експлуатації, всі сідушки на місці. Якщо цікавить таке авто то це саме те що Ви шукали!",Пробіг;Двигун;Коробка передач;Привід;Колір;,"198 тис. км;
                            2 л
                                                                        •
                                Бензин                    ;Ручна / Механіка;Передній;

                        Чорний металік        ;"
7,https://auto.ria.com/uk/auto_seat_leon_32819684.html,Хетчбек SEAT Leon 2010 в Львові,4 900,SEAT Leon 2010,,"Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SEAT Leon 2010;1.4 л • Бензин; Червоний;04.04.2019 • 3 роки, 7 міс. тому перепродаж за договором купівлі-продажу;4;Ні;",Тип обтяження;Обмеження відчуження;Пробіг перевірено;Пробіг від продавця;ДТП;,"не виявлено;дозволено відчужувати;50 тис.км • 10 років, 2 міс. тому останній зафіксований від 05.09.2012джерело фіксації — дилерське СТО;203 тис.км;Немає офіційно зареєстрованих;","В продажі динамічне авто Seat Leon рестайл з надійним двигуном 1.4 ТSI,ідеально підходить для міста,хороша комплектація з двохзонним кліматом, підігрівом сидінь,Bluetoothe audio система з великим сенсорним екраном . Купив автомобіль 4 роки назад , особисто наїздив 100тис за цей час,Leon ні разу не підвів, завжди все вчасно обслуговувалося ставились якісні запчастини.Нові гальмівні колодки, передні амортизатори Sach,на 200 тис поміняний ланцюг.Є незначні сколи,царапини,облущення фарби на кузові, що покажу на фото.Зимова резина в комплекті",Пробіг;Двигун;;Коробка передач;Привід;Колір;Лакофарбове покриття;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Безпека;Салон та комфорт;Мультимедіа;Оптика;Подушка безпеки;,203 тис. км;1.4 л (125 к.с. / 92 кВт) • Бензин;місто 8 • траса 6 • змішаний 7;Ручна / Механіка;Передній; Червоний;Професійно виправлені сліди використання ;Галогенні;Тканина;Темний;Ручне регулювання сидіння водія;Передні та задні;Клімат-контроль 2-зонний;Електро;По висоті та по вильоту;Повнорозмірне;Антипробуксовочна система  (ASR);Оздоблення керма  шкірою • Оздоблення шкірою важеля  КПП • Електроскладання  дзеркал • Круїз  контроль;Мультимедіа система з  LCD-екраном • AUX • Bluetooth • USB;Протитуманні  фари;Водія • Пасажира • Бічні  передні • Віконні  (шторки);
8,https://auto.ria.com/uk/auto_seat_leon_33532421.html,Хетчбек SEAT Leon 2007 в Іршаві,5 900,SEAT Leon 2007,"Пригнаний з Німеччини,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SEAT Leon 2007;2 л • Дизель Об'єм двигуна не вказаний продавцем; Сірий;29.10.2022 перепродаж (на внутрішньому ринку);3;Ні;,Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,"не виявлено;дозволено відчужувати;не знайдено;202 тис.км • 7 років, 4 міс. тому останній зафіксований від 07.07.2015джерело фіксації — дилерське СТО;262 тис.км;Немає офіційно зареєстрованих;",Машина на повному ходу без єдиної помилки 2.0 турбодизель автомат dsg 6-сти ступка 125 кіловат зимня резина економна потужна машинка,Пробіг;Двигун;Коробка передач;Привід;Колір;Технічний стан;Матеріали салону;Колір салону;Електросклопідйомники;Кондиціонер;,262 тис. км;Дизель;Автомат;Передній; Сірий металік;Професійно відремонтовані пошкодження ;Тканина;Темний;Передні та задні;Кондиціонер;
9,https://auto.ria.com/uk/auto_seat_leon_32976788.html,Хетчбек SEAT Leon 2010 в Києві,5 800,SEAT Leon 2010,"Пригнаний з Німеччини,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SEAT Leon 2010;1.4 л • Бензин; Чорний;30.06.2022 • 4 міс. тому перша реєстрація вживаного авто після розмитнення;1;Ні;,Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,"не виявлено;дозволено відчужувати;не знайдено;123 тис.км • 5 років, 4 міс. тому останній зафіксований від 07.07.2017джерело фіксації — дилерське СТО;194 тис.км;Немає офіційно зареєстрованих;","Продам автомобіль у відмінному стані.Автомобіль пригнаний із Німеччини. Автомобіль перед приїздом пройшов техогляд. Двигун, ходова та все інше працюють як годинник. Оригінальний пробіг можна перевіряти будь-яким приладом.Є невеликі вм'ятини та пара подряпин, сколи на бампері. Обслуговувалась у строк, у роботі нарікань немає.З авто йдуть комплект зимовой резіни майже нової, колесо докатки та комплект інструментів.Подробиці телефону.",Пробіг;Двигун;;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Безпека;Салон та комфорт;Мультимедіа;Оптика;Кузов;Подушка безпеки;,194 тис. км;1.4 л (125 к.с. / 92 кВт) • Бензин;місто 6.4 • траса 5 • змішаний 6;Ручна / Механіка;Передній; Чорний металік;Невиправлені сліди використання ;Повністю непошкоджене ;Галогенні;Тканина;Темний;Ручне регулювання передніх сидінь;Передні;Клімат-контроль 2-зонний;Гідро;По висоті та по вильоту;Докатка;Центральний  замок • Антиблокувальна система  (ABS) • Система стабілізації  (ESP) • Іммобілайзер • Антипробуксовочна система  (ASR) • Стабілізація рульового управління  (VSM) • Розподіл гальмівних зусиль  (BAS • EBD) • Допомога при старті в  гору • Датчик тиску в  шинах • Система кріплення  IsoFix • Блокування замків задніх  дверей;Бортовий  комп'ютер • Підігрів  дзеркал • Складане заднє  сидіння • Функція складання спинки сидіння  пасажира • Третій задній  підголівник • Розетка  12V • Мультифункціональне  кермо • Підкурювач і  попільничка • Круїз  контроль;Акустика • AUX • Bluetooth • USB • Голосове  керування;Денні ходові  вогні • Протитуманні  фари • Система адаптивного  освітлення;Захист  картера • Захист  коробки;Водія • Пасажира • Бічні  передні • Бічні  задні;
