,url,car_type,price,model_year,country_dtp,main_cats,main_info,paid_cats,paid_info,full_description,additional_cats,additional_info
0,https://auto.ria.com/uk/auto_ssangyong_korando_33346341.html,Позашляховик / Кросовер SsangYong Korando 2013 в Кам'янському,12 600,SsangYong Korando 2013,,,,Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;4 тис.км;Немає офіційно зареєстрованих;,"Первый владелец, покупал у оф. дилера АIC в 2013 году, дата производства 12.05.2013. Пробег 4 тыс.км. состояние нового автомобиля. Не бит, не крашен, царапин, сколов, вмятин , трещин нет. С первого дня хранится в сухом гараже под чехлом, эксплуатируется исключительно в летнее время . Масло, фильтр меняю раз в год , не по пробегу, а по времени . Резина заводская в состоянии новой, запаска и домкрат ни разу не использовались . До сегодняшнего дня, салон был в целлофане .",Пробіг;Двигун;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;,4 тис. км;2 л • Бензин;Автомат;Передній; Чорний металік;Як нове ;Повністю непошкоджене ;
1,https://auto.ria.com/uk/auto_ssangyong_kyron_33498619.html,Позашляховик / Кросовер SsangYong Kyron 2013 в Києві,8 200,SsangYong Kyron 2013,,,,Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;191 тис.км;Немає офіційно зареєстрованих;,"Увага, ціну знижено!Авто у гарному стані. Це справжній рамний позашляховик з декількома режимами приводу (керуються перемикачем з салону авто), включаючи понижуючу передачу (2H-4H-4L) та систему допомоги при спуску. Реальний кліренс 23 мм.Максимальна комплектація (окрім шкіряного салону) – датчики світла та дощу, підігрів всіх сидінь, підігрів лобового скла, електро-люк, мульти-кермо, ESP, клімат-контроль, круїз та багато іншого.Автоматична 6-тиступенева КПП з можливістю перемикання передач як у звичайному режимі, так і за допомогою кнопок на кермі або на важелі. Також АКПП має корисний зимовий режим.Багатофункціональній салон – величезний багажник, задні сидіння розкладаються утворюючи рівну площадку, безліч ніш та кишень. Підлокітник, USB, розетки.Додатково встановлено міцний відбійник с лампою яка працює в режимі ближнього та дальнього світла, підніжки. Стеля оздоблена натуральною алькантарою. Нова та потужна 2-Din магнітола на Android – встановлюються будь-які додатки, підключення до телефону, NAVI. Задній парк-тронік та камера. Кузовні елементи, включно з підкрилками та кришкою багажника, додатково шумоізольовані.Два комплекти практично нової гуми (зима та літо), всі ключи та інше.Авто обслуговувалось вчасно та якісно – усі подробиці по телефону.Тільки в добрі руки. Цей автомобіль вас приємно здивує – висока посадка, легке подолання раніше недосяжних перешкод та відчуття безпеки.",Пробіг;Двигун;Коробка передач;Привід;Колір;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Безпека;Салон та комфорт;Мультимедіа;Оптика;Кузов;Система допомоги при паркуванні;Подушка безпеки;,191 тис. км;2 л • Дизель;Автомат;Повний; Білий;Ксенонові/Біксенонові;Комбінований;Темний;Ручне регулювання передніх сидінь;Передні та задні;Клімат-контроль 1-зонний;Гідро;Центральний  замок • Антиблокувальна система  (ABS) • Система стабілізації  (ESP) • Іммобілайзер • Антипробуксовочна система  (ASR) • Розподіл гальмівних зусиль  (BAS • EBD) • Допомога при  спуску • Блокування замків задніх  дверей;Люк • Датчик  дощу • Підігрів  дзеркал • Тоновані  вікна • Складане заднє  сидіння • Третій задній  підголівник • Оздоблення керма  шкірою • Оздоблення шкірою важеля  КПП • Передній центральний  підлокітник • Декоративне підсвічування  салону • Розетка  12V • Мультифункціональне  кермо • Підрульові пелюстки перемикання  передач • Електропривід  дзеркал • Підкурювач і  попільничка • Обігрів лобового  скла • Круїз  контроль • Вибір режиму  руху;Навігаційна  система • AUX • Bluetooth • USB • Android  Auto • CarPlay;Датчик  світла • Денні ходові  вогні • Протитуманні  фари;Накладки на  пороги • Захист  картера;Парктронік  задній • Задня  камера;Водія • Пасажира • Бічні  передні • Бічні  задні;
2,https://auto.ria.com/uk/auto_ssangyong_actyon_33059834.html,Позашляховик / Кросовер SsangYong Actyon 2007 в Одесі,5 500,SsangYong Actyon 2007,"Можлива оплата частинами,Був в ДТП,Торг,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SsangYong Actyon 2007;2 л • Дизель; Чорний;16.02.2019 • 3 роки, 9 міс. тому перепродаж (на внутрішньому ринку);2;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;320 тис.км;Немає офіційно зареєстрованих;,"дуже Терміново Продам SsangYoung 2007 року 2л. турбодизель. Гарний рамний позашляховик на повному приводі з підключаємим переднім.Машина комфортна як для міста,так і для бездоріжжя.Коробка автомат,кузов рама не гнилий,є зовнішні незначні царапини та сколи.Шкіряний салон,клімат контроль,підігрів сидінь.Авто пройшло повне технічне обслуговування, замінено всі мастила,фільтри,добра резина,рульова рейка після ремонта,ще на гарантії пів року.Замінені передні рульові тяги в зборі,поставлений новий аккумулятор.Я власник.",Пробіг;Двигун;;Коробка передач;Привід;Колір;Участь в ДТП;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Запасне колесо;Система допомоги при паркуванні;,320 тис. км;2 л (140 к.с. / 103 кВт) • Дизель;місто 9 • траса 7;Автомат;Повний; Чорний;Був в ДТП;Ксенонові/Біксенонові;Шкіра;Темний;Ручне регулювання передніх сидінь;Передні та задні;Клімат-контроль 2-зонний;Гідро;Повнорозмірне;Парктронік  задній;
3,https://auto.ria.com/uk/auto_ssangyong_korando_33529819.html,Позашляховик / Кросовер SsangYong Korando 2013 в Івано-Франківську,9 572,SsangYong Korando 2013,"Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SsangYong Korando 2013;2 л • Бензин; Сірий;04.11.2022 перепродаж (на внутрішньому ринку);3;Ні;,Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;52 тис.км;Немає офіційно зареєстрованих;,"Офіційне авто!!!!!СТАН МАГАЗИН!!!Нова машина!!!!!КОРЕЄЦЬ!!!52000рідного некрученого пробігу!!!!Під поліками все в заводській клійонці!!!Пахне новою!!!!!2013 рік !В тех паспорті 2013!!!Я власник по паперах!!!Кузов,мотор,салон,ходова все ідеально!!!Все працює на ,1000%!Їде як нова!!!!6 передач вперед!Уже на суперовій зимовій резині!!!Брати і кататись!!!Запаска не використовувалась!!!Стоїть фірмова сигналка!!!Є 2 ключі з пультами!!!!",Пробіг;Двигун;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Безпека;Салон та комфорт;Мультимедіа;Оптика;Кузов;Система допомоги при паркуванні;Подушка безпеки;,52 тис. км;2 л (149 к.с. / 110 кВт) • Бензин;Ручна / Механіка;Передній; Сірий металік;Як нове ;Повністю непошкоджене ;Світлодіодні;Тканина;Темний;Ручне регулювання передніх сидінь;Кондиціонер;Гідро;По висоті та по вильоту;Повнорозмірне;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Система стабілізації  (ESP) • Іммобілайзер • Антипробуксовочна система  (ASR) • Розподіл гальмівних зусиль  (BAS • EBD) • Система кріплення  IsoFix • Блокування замків задніх  дверей;Бортовий  комп'ютер • Підігрів  дзеркал • Тоновані  вікна • Складане заднє  сидіння • Третій задній  підголівник • Передній центральний  підлокітник • Розетка  12V • Мультифункціональне  кермо • Електропривід  дзеркал • Бардачок з  охолодженням • Підкурювач і  попільничка • Обігрів лобового  скла • Круїз  контроль;Акустика • AUX • Bluetooth • USB;Денні ходові  вогні • Протитуманні  фари;Кузов  MAXI • Захист  картера • Захист  коробки;Парктронік  задній;Водія • Пасажира • Колін  водія;
4,https://auto.ria.com/uk/auto_ssangyong_actyon_33586851.html,Позашляховик / Кросовер SsangYong Actyon 2008 в Києві,5 600,SsangYong Actyon 2008,"Торг,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SsangYong Actyon 2008;2.3 л • Газ / Бензин; Синій;14.08.2021 • 1 рік, 3 міс. тому перепродаж (на внутрішньому ринку);3;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;342 тис.км;Немає офіційно зареєстрованих;,"Найкращий варінт для зими ! Продам SsangYong , 2008 рік , 2,3 газ/бензин в дуже гарному технічному стані . Авто в комплектації зі шкіряними сидіннями , підігравами всього , електрорегулювання сидінь та скадання дзеркал . Повний привід ( відключаємий ) , на широкій зимовій резині. Просто танк ( проїде де хочеш ) але з дуже приємним управлінням . Знаходиться в Києві Ціна всього 5600$ .",Пробіг;Двигун;;Коробка передач;Привід;Колір;Технічний стан;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;,342 тис. км;2.3 л • Газ / Бензин;місто 11;Автомат;Повний; Синій;Повністю непошкоджене ;Шкіра;Темний;Електрорегулювання передніх сидінь;Передні та задні;Клімат-контроль 1-зонний;Гідро;По висоті та по вильоту;
5,https://auto.ria.com/uk/auto_ssangyong_kyron_33584922.html,Позашляховик / Кросовер SsangYong Kyron 2009 в Києві,9 800,SsangYong Kyron 2009,"Торг,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;",SsangYong Kyron 2009;2.3 л • Газ / Бензин; Червоний;21.10.2021 • 1 рік тому перепродаж за договором купівлі-продажу;2;Ні;,Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;66 тис.км;Немає офіційно зареєстрованих;,В ідеальному стані. Рідний пробіг. Є підтверджуючі документи. Торг.,Пробіг;Двигун;Коробка передач;Привід;Колір;,66 тис. км;2.3 л • Газ / Бензин;Автомат;Повний; Червоний;
6,https://auto.ria.com/uk/auto_ssangyong_kyron_33428811.html,Позашляховик / Кросовер SsangYong Kyron 2013 в Києві,12 000,SsangYong Kyron 2013,"Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SsangYong Kyron 2013;2 л • Дизель; Білий;20.06.2014 • 8 років, 4 міс. тому перепродаж (за довідкою-рахунком);2;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Кількість страхових випадків;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;Так;1;Даних про пробіг не виявлено інформація відсутня в базах даних;132 тис.км;Немає офіційно зареєстрованих;,"Офіційний автомобіль куплено 11.12.2013р. У салоні ""АІС"" м. Київ. Другий власник з 20.06.2014, придбаний для дружини, з пробігом 6000км. Автомобіль у відмінному технічному стані, обслуговування тільки на «АІС», на 100000 км. паливного бака («Дизель Сервіс» - Кіквідзе Київ), новий радіатор-інтеркулер. Заміна Масла та фільтра АКПП, фільтра палива. Сигналізація з авто запуском, турбо таймер, фаркоп, ксенон, парк тронік задній, протитуманки-LED, всі стекла рідні та тоновані. По кузову є невеликі відколи, передній бампер довелося підклеювати самому, зліва внизу біля протитуманки-вилетів камінь на трасі (на фото видно) страховий випадок. Машина повністю обслуговується та доглянута, у ДТП не була, економічна та надійна. Сів і поїхав.",Пробіг;Двигун;;Коробка передач;Привід;Колір;Технічний стан;Фари;Матеріали салону;Колір салону;Електросклопідйомники;Кондиціонер;Регулювання керма;Запасне колесо;Безпека;Салон та комфорт;Мультимедіа;Оптика;Кузов;Система допомоги при паркуванні;Подушка безпеки;,132 тис. км;2 л (136 к.с. / 100 кВт) • Дизель;місто 9 • траса 7 • змішаний 8;Типтронік;Повний; Білий;Повністю непошкоджене ;Ксенонові/Біксенонові;Тканина;Темний;Передні та задні;Клімат-контроль 1-зонний;По висоті;Повнорозмірне;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Система стабілізації  (ESP) • Іммобілайзер • Антипробуксовочна система  (ASR) • Стабілізація рульового управління  (VSM) • Розподіл гальмівних зусиль  (BAS • EBD) • Допомога при старті в  гору • Допомога при  спуску • Блокування замків задніх  дверей;Бортовий  комп'ютер • Датчик  дощу • Підігрів  дзеркал • Мультифункціональне  кермо • Підрульові пелюстки перемикання  передач • Підкурювач і  попільничка • Адаптивний  круїз • Дистанційний запуск  двигуна • Круїз  контроль • Вибір режиму  руху;Акустика • Аудіопідготовка • AUX • USB;Датчик  світла • Денні ходові  вогні • Протитуманні  фари;Захист  картера • Захист  коробки;Парктронік  передній • Парктронік  задній;Водія • Пасажира • Бічні  передні • Бічні  задні;
7,https://auto.ria.com/uk/auto_ssangyong_kyron_20070722.html,Позашляховик / Кросовер SsangYong Kyron 2007 в Івано-Франківську,7 500,SsangYong Kyron 2007,"Торг,Обмін,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SsangYong Kyron 2007;2 л • Дизель; Чорний;25.03.2016 • 6 років, 7 міс. тому перепродаж за договором купівлі-продажу (оформлено нотаріально);5;Ні;",Тип обтяження;Обмеження відчуження;Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не виявлено;дозволено відчужувати;не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;265 тис.км;Немає офіційно зареєстрованих;,"машина в хорошому стані новий АКБ.АВТО ЗАПУСК ТУРБО ТАЙМЕР.поміняні всі ролики.Ходова повністю нова.По мотору і АКП нарікань нема.машина повністю справна.ДЕТАЛІ ПО Телефону. На рахунок обміну звоніть, немаю часу заходити на сайт.",Пробіг;Двигун;Коробка передач;Привід;Колір;Безпека;Салон та комфорт;Мультимедіа;Оптика;Система допомоги при паркуванні;Подушка безпеки;,265 тис. км;2 л • Дизель;Типтронік;Повний; Чорний;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація;Бортовий  комп'ютер • Датчик  дощу • Підігрів  дзеркал • Тоновані  вікна;Акустика;Датчик  світла;Парктронік  передній;Водія;
8,https://auto.ria.com/uk/auto_ssangyong_kyron_33568924.html,Позашляховик / Кросовер SsangYong Kyron 2012 в Києві,9 250,SsangYong Kyron M200 XDi 2012,"Торг,","Марка, модель, рік;Двигун;Колір;Остання операція;Кількість власників;В розшуку;","SsangYong Kyron 2012;2 л • Дизель; Сірий;17.10.2017 • 5 років, 1 міс. тому перепродаж (на внутрішньому ринку);3;Ні;",Наявність страхового випадку;Пробіг перевірено;Пробіг від продавця;ДТП;,не знайдено;Даних про пробіг не виявлено інформація відсутня в базах даних;172 тис.км;Немає офіційно зареєстрованих;,"Терміновий продаж (Торг)Один власник авто з салонуТО кожні 10 тис км.додатково встановленодвостороння сигналізаціяМультимедіа ресивер Pioneer AVH-X8800BTакустика JBLстеля перетягнута алькантароючохли алькантара та еко кожаповна шумо вібро ізоляція, включаючи стелюшини зимові / літніантигравійна оброка кузавазахист двигуна радіатора короки роздатки (кальчуга)камера заднього виду з регістраторомкилимки літні зимні",Пробіг;Двигун;;Коробка передач;Привід;Колір;Технічний стан;Фари;Матеріали салону;Колір салону;Регулювання сидінь салону по висоті;Електросклопідйомники;Кондиціонер;Підсилювач керма;Регулювання керма;Запасне колесо;Салон та комфорт;Мультимедіа;Оптика;Кузов;Система допомоги при паркуванні;,172 тис. км;2 л (141 к.с. / 104 кВт) • Дизель;місто 10 • траса 6.5 • змішаний 8.5;Ручна / Механіка;Повний; Сірий металік;Професійно відремонтовані пошкодження ;Галогенні;Алькантара;Темний;Ручне регулювання сидіння водія;Передні та задні;Кондиціонер;Гідро;По висоті;Докатка;Підігрів  дзеркал • Тоновані  вікна • Складане заднє  сидіння • Третій задній  підголівник • Передній центральний  підлокітник • Розетка  12V • Мультифункціональне  кермо • Електропривід  дзеркал • Підкурювач і  попільничка • Обігрів лобового  скла • Вибір режиму  руху;Акустика • Аудіопідготовка • Мультимедіа система з  LCD-екраном • AUX • Bluetooth • USB • Android  Auto • CarPlay;Протитуманні  фари;Захист  картера • Захист  коробки;Задня  камера;
9,https://auto.ria.com/uk/auto_ssangyong_rexton_33537572.html,Унiверсал SsangYong Rexton 2006 в Ірпені,8 200,SsangYong Rexton Xdi 2006,,,,Наявність страхового випадку;,не знайдено;,"Авто Володію 10 років, обслуговувалась постійно виписки є в наявності. Багато чого робив для себе. Перераховувати багато, дзвоніть все розповім.",Пробіг;Двигун;;Коробка передач;Привід;Колір;Лакофарбове покриття;Технічний стан;Безпека;Мультимедіа;Оптика;Подушка безпеки;,380 тис. км;2.7 л (186 к.с. / 137 кВт) • Дизель;змішаний 11;Автомат;Задній; Чорний;Невиправлені сліди використання ;Повністю непошкоджене ;Центральний  замок • Антиблокувальна система  (ABS) • Сигналізація • Розподіл гальмівних зусиль  (BAS • EBD);Акустика • Навігаційна  система • Аудіопідготовка • AUX • Bluetooth • USB • Android  Auto • CarPlay;Денні ходові  вогні;Водія • Пасажира;
